station_id,obsTime,ELEV,WDIR,WDSD,TEMP,HUMD,PRES,SUN,H_24R,H_FX,H_XD,H_FXT,D_TX,D_TXT,D_TN,D_TNT
C0V700,2019/8/6 00:00,24,24,1.7,28,0.81,999.3,-99,1,-99,-99,-99,33.2,,27.5,
C0AH00,2019/8/6 00:00,38,40,2.1,28.7,0.9,999,-99,0,-99,-99,-99,32.1,,27.5,
C0X080,2019/8/6 00:00,2,163,1.9,27.2,0.92,1002.3,-99,0,-99,-99,-99,33.7,,26.9,
CM0150,2019/8/6 00:00,11,21,0.6,26.7,0.89,1002.4,-99,12,-99,-99,-99,32.2,,26.6,
C0I480,2019/8/6 00:00,2165,0,0.2,14.8,0.97,784.5,-99,0,-99,-99,-99,21.8,,13.9,
C0A860,2019/8/6 00:00,362,50,2.1,25.6,0.99,963.9,-99,2.5,-99,-99,-99,30.1,,24.5,
C0U940,2019/8/6 00:00,25,234,0.8,26.1,0.99,1002.2,-99,11.5,-99,-99,-99,32.2,,25.3,
C0S970,2019/8/6 00:00,19,313,1.3,26.4,0.91,1001,-99,37,-99,-99,-99,30.8,,26,
C0V260,2019/8/6 00:00,126,26,0.7,25.9,0.99,989.2,-99,47,-99,-99,-99,35,,25.7,
C0H990,2019/8/6 00:00,3076,0,0,10,0.85,703.8,-99,0,-99,-99,-99,23.2,,9.9,
C0F9K0,2019/8/6 00:00,30,171,2.6,29.1,0.8,996.7,-99,0,-99,-99,-99,32,,28.4,
C0AH90,2019/8/6 00:00,660,0,0.1,23.3,0.99,934.6,-99,29.5,-99,-99,-99,28.4,,22.7,
C0W150,2019/8/6 00:00,42,58,2.8,29.5,0.81,999.3,-99,0,-99,-99,-99,34.8,,28.8,
C0F000,2019/8/6 00:00,273,165,0.5,26.2,1,970.3,-99,0.5,-99,-99,-99,31.7,,25.6,
C0K410,2019/8/6 00:00,20,192,2.3,27.7,0.86,999.2,-99,5.5,-99,-99,-99,32.8,,26.9,
C0V800,2019/8/6 00:00,256,332,0.5,25.2,0.95,973,-99,42,-99,-99,-99,32.5,,24.6,
C0S830,2019/8/6 00:00,288,25,1.8,25.6,0.92,973.2,-99,10,-99,-99,-99,31.7,,24.3,
C0S920,2019/8/6 00:00,98,0,0.1,25.8,0.97,988.1,-99,16,-99,-99,-99,32,,25.3,
C0V640,2019/8/6 00:00,35,90,0.7,27.4,0.94,998.9,-99,2.5,-99,-99,-99,31.7,,26.9,
C0AH80,2019/8/6 00:00,68,106,1.9,26.9,0.88,995.4,-99,1.5,-99,-99,-99,32.5,,25.4,
C0K250,2019/8/6 00:00,12,194,2.3,27.7,0.85,1000.8,-99,0,-99,-99,-99,34.4,,25.8,
C0I410,2019/8/6 00:00,180,188,1.7,27.5,0.87,981.8,-99,0,-99,-99,-99,33.5,,25.2,
C0M410,2019/8/6 00:00,245,0,0.1,24.2,1,972.2,-99,28.5,-99,-99,-99,32.8,,23.4,
C0F9Z0,2019/8/6 00:00,3193,14,4.9,11.1,0.74,694.5,-99,0,-99,-99,-99,16.8,,10.1,
C0G810,2019/8/6 00:00,26,197,1.3,29.4,0.81,998.1,-99,0,-99,-99,-99,34,,28.4,
C0U650,2019/8/6 00:00,442,18,1.1,24.7,0.99,956.1,-99,12.5,-99,-99,-99,30.9,,23.6,
C0D660,2019/8/6 00:00,65,95,2.7,29.2,0.73,994.6,-99,0,-99,-99,-99,34.6,,27.5,
C0E540,2019/8/6 00:00,32,0,0.2,28.8,0.83,998.5,-99,1.5,-99,-99,-99,35.4,,26.8,
C0W170,2019/8/6 00:00,42,43,3.8,27.9,0.89,999.1,-99,0.5,-99,-99,-99,29.9,,27.2,
C0Z150,2019/8/6 00:00,27,227,2.2,27.1,0.97,1001.5,-99,18,-99,-99,-99,30.8,,26.3,
C0S840,2019/8/6 00:00,22,286,1.6,26.3,0.95,1002.5,-99,17.5,-99,-99,-99,31.8,,25.8,
C0H9A0,2019/8/6 00:00,1595,0,0,19,0.99,840.3,-99,0,-99,-99,-99,23.6,,17.4,
C0Z300,2019/8/6 00:00,182,22,1,25.4,0.99,985.4,-99,36,-99,-99,-99,31.7,,24.8,
C0G730,2019/8/6 00:00,27,186,3,27.9,0.94,999.6,-99,0,-99,-99,-99,32.6,,27.3,
C0SA00,2019/8/6 00:00,466,0,0,23.5,1,952.1,-99,32.5,-99,-99,-99,29.2,,23.1,
C0S900,2019/8/6 00:00,27,60,0.7,28.5,0.83,1000.9,-99,5.5,-99,-99,-99,31.3,,26.8,
C0C480,2019/8/6 00:00,105,120,1.3,29.1,0.73,990.8,-99,0,-99,-99,-99,36.5,,28.1,
C0V720,2019/8/6 00:00,15,55,1.3,27.4,0.96,1001,-99,4,-99,-99,-99,33.3,,27.2,
C0UA60,2019/8/6 00:00,566,305,1,23.5,0.95,941.9,-99,9.5,-99,-99,-99,30.5,,22.9,
C0A980,2019/8/6 00:00,11,138,1,29.4,0.72,1002.4,-99,0,-99,-99,-99,34.6,,28.8,
C0C670,2019/8/6 00:00,250,52,1.7,27.1,0.79,974.9,-99,0,-99,-99,-99,32.6,,25.6,
C0K550,2019/8/6 00:00,15,193,1.2,28.1,0.86,1000.9,-99,0,-99,-99,-99,33.2,,26.9,
C0R350,2019/8/6 00:00,35,346,0.7,25,-99,998.3,-99,19.5,-99,-99,-99,32.1,,25,
C0T9F0,2019/8/6 00:00,251,291,0.4,25.3,0.96,976,-99,3.5,-99,-99,-99,31.3,,24.4,
C0D390,2019/8/6 00:00,146,0,0,27.3,0.83,984.5,-99,0,-99,-99,-99,35.1,,25.2,
C0E430,2019/8/6 00:00,258,207,0.7,26.6,0.95,977,-99,0.5,-99,-99,-99,31.2,,25.3,
C0O990,2019/8/6 00:00,18,148,1.2,25.9,0.99,1000.5,-99,3.5,-99,-99,-99,35,,25.9,
CM0010,2019/8/6 00:00,68,14,0.4,27.7,-99,996.3,-99,2.5,-99,-99,-99,32.5,,26.3,
C0K500,2019/8/6 00:00,12,195,1.8,27.8,0.88,999.8,-99,0,-99,-99,-99,33.8,,26.9,
C0X260,2019/8/6 00:00,39,188,1.2,27.1,0.92,998.5,-99,29,-99,-99,-99,33,,24.4,
C0ACA0,2019/8/6 00:00,25,46,2.9,28.8,0.78,999.4,-99,0,-99,-99,-99,33,,28.2,
C0X180,2019/8/6 00:00,62,144,1.8,25.7,0.99,995.2,-99,11.5,-99,-99,-99,33.7,,25.4,
C0F930,2019/8/6 00:00,100,151,0.7,29.3,0.94,990.4,-99,0,-99,-99,-99,33.8,,27.6,
C0I010,2019/8/6 00:00,1562,104,1.1,19.3,0.86,842.6,-99,1,-99,-99,-99,25.2,,18.2,
C0R190,2019/8/6 00:00,32,0,0,25.5,0.99,998.5,-99,42.5,-99,-99,-99,33.5,,25.3,
C0E420,2019/8/6 00:00,19,38,0.5,28.9,0.76,997.9,-99,0,-99,-99,-99,34.6,,27.7,
C0W160,2019/8/6 00:00,49,42,13.7,27.6,0.91,994.1,-99,0,-99,-99,-99,28.9,,27.1,
C0I460,2019/8/6 00:00,110,187,2.3,28.8,0.83,989.6,-99,0,-99,-99,-99,34,,26.5,
C0A9F0,2019/8/6 00:00,35,96,1.7,28.8,0.98,999.8,-99,0,-99,-99,-99,33.3,,28.3,
C0F9A0,2019/8/6 00:00,425,0,0.2,25.5,0.97,954.9,-99,9.5,-99,-99,-99,31,,24.5,
C0O950,2019/8/6 00:00,4,0,0.2,27.9,0.86,1001.4,-99,0.5,-99,-99,-99,33,,27.4,
C0M760,2019/8/6 00:00,40,181,1.2,27.7,0.93,998,-99,0,-99,-99,-99,34,,26.6,
C0AH70,2019/8/6 00:00,34,77,2.4,29.1,0.73,999.9,-99,2,-99,-99,-99,33.7,,27.8,
C0V250,2019/8/6 00:00,298,0,0.1,24.1,0.99,970.7,-99,23,-99,-99,-99,34,,23.5,
C0U980,2019/8/6 00:00,573,158,1.6,23.8,1,942.5,-99,31,-99,-99,-99,28.4,,23.4,
C0S740,2019/8/6 00:00,289,41,1.2,24.8,0.98,972.8,-99,1.5,-99,-99,-99,32,,24.4,
C0A940,2019/8/6 00:00,49,0,0.1,28,0.96,998.9,-99,3.5,-99,-99,-99,33.3,,27.2,
C0A920,2019/8/6 00:00,196,98,2.4,27,1,981.2,-99,0.5,-99,-99,-99,30.5,,26.4,
C0T870,2019/8/6 00:00,135,0,0.1,25.6,0.99,989,-99,26,-99,-99,-99,31,,24.4,
C0C460,2019/8/6 00:00,482,0,0,26.5,0.71,950.6,-99,0,-99,-99,-99,31.8,,22.9,
C0E520,2019/8/6 00:00,320,-99,-99,26.4,0.99,967.4,-99,0,-99,-99,-99,33.5,,24.2,
C0T9D0,2019/8/6 00:00,7,0,0,26.3,0.99,1003.6,-99,7.5,-99,-99,-99,33.8,,25.3,
C0I390,2019/8/6 00:00,1184,108,1.4,21.3,0.92,879.3,-99,0,-99,-99,-99,27.6,,19.1,
C0B020,2019/8/6 00:00,86,91,3.3,27.5,0.99,992.6,-99,0,-99,-99,-99,31,,27.1,
CM0170,2019/8/6 00:00,106,0,0.1,26.7,0.91,991.1,-99,0,-99,-99,-99,33,,24.9,
C0F860,2019/8/6 00:00,2215,79,0.6,14.8,1,777.4,-99,3,-99,-99,-99,24.2,,14.8,
C0U890,2019/8/6 00:00,116,214,1.4,26.6,0.99,992.4,-99,14.5,-99,-99,-99,31.1,,25.6,
C0X170,2019/8/6 00:00,50,184,0.3,26.8,0.89,996.6,-99,5,-99,-99,-99,35.1,,26.7,
C0G860,2019/8/6 00:00,45,175,1.2,29,0.8,995.5,-99,0,-99,-99,-99,34.4,,27.9,
C0Z250,2019/8/6 00:00,1124,341,1,20.8,0.99,884.2,-99,59.5,-99,-99,-99,27.1,,20,
C0K440,2019/8/6 00:00,35,173,3.5,28.1,0.84,998.2,-99,0,-99,-99,-99,32.5,,27.6,
C0T900,2019/8/6 00:00,160,271,0.4,25.3,0.94,984.9,-99,24,-99,-99,-99,31.3,,24.4,
C0F9V0,2019/8/6 00:00,525,214,2.8,26.1,0.91,945.2,-99,0,-99,-99,-99,30.2,,24.4,
C0UA20,2019/8/6 00:00,2619,48,0.5,13.3,1,735.9,-99,12.5,-99,-99,-99,17.7,,12.1,
C0M850,2019/8/6 00:00,695,0,0,21.9,0.99,926.6,-99,49,-99,-99,-99,30.2,,21.7,
C0C620,2019/8/6 00:00,19,79,2.5,28.8,0.77,999.5,-99,0,-99,-99,-99,36.2,,27.7,
C0I360,2019/8/6 00:00,300,0,0,27.7,0.86,968.4,-99,0,-99,-99,-99,31,,24.9,
C0M810,2019/8/6 00:00,1354,223,0.4,19.6,0.95,859.9,-99,12,-99,-99,-99,23.8,,18.8,
C0AC80,2019/8/6 00:00,40,90,2,28,0.83,998.6,-99,0.5,-99,-99,-99,33.1,,26.3,
CM0140,2019/8/6 00:00,26,0,0.2,27.1,0.87,1001.4,-99,7,-99,-99,-99,32.1,,26.4,
C0SA20,2019/8/6 00:00,857,5,1.5,22,1,911,-99,29.5,-99,-99,-99,26.3,,21.5,
C0K490,2019/8/6 00:00,91,188,1.2,-99,0.84,991.7,-99,6,-99,-99,-99,-999,,-999,
C0V820,2019/8/6 00:00,441,0,0.1,23.6,0.99,956.6,-99,57,-99,-99,-99,31.8,,23,
C0S810,2019/8/6 00:00,65,345,1.3,25.7,0.97,998.7,-99,12,-99,-99,-99,32.2,,25.2,
C0R580,2019/8/6 00:00,10,353,1.3,26.1,1,1001.3,-99,6.5,-99,-99,-99,32,,25.8,
C0Z330,2019/8/6 00:00,488,44,0.6,23.8,0.99,952.1,-99,8,-99,-99,-99,30.7,,22.8,
C0E590,2019/8/6 00:00,40,189,1.4,28.7,0.86,996.3,-99,0,-99,-99,-99,33.3,,26.5,
C0Z100,2019/8/6 00:00,36,0,0.2,26.8,0.98,1001.6,-99,17,-99,-99,-99,32.3,,26.1,
C0D540,2019/8/6 00:00,227,0,0,25.7,0.9,977.9,-99,0,-99,-99,-99,33.8,,24.6,
C0K420,2019/8/6 00:00,42,210,2,28.4,0.8,997.1,-99,0,-99,-99,-99,33.2,,26.8,
C0Z180,2019/8/6 00:00,34,261,0.3,27.8,0.88,1000,-99,6,-99,-99,-99,31,,27,
C0AD10,2019/8/6 00:00,27,116,3.5,29.7,0.69,999.7,-99,0,-99,-99,-99,34.7,,29,
C0M720,2019/8/6 00:00,225,102,1.1,25.7,0.9,977.5,-99,10.5,-99,-99,-99,32.2,,24.6,
C0V450,2019/8/6 00:00,51,24,0.7,25.7,0.99,996.7,-99,4.5,-99,-99,-99,33.2,,25.7,
C0R280,2019/8/6 00:00,242,58,1.1,24.6,-99,975.7,-99,57,-99,-99,-99,29.7,,24.3,
C0E610,2019/8/6 00:00,850,0,0,23.5,0.98,911.7,-99,0,-99,-99,-99,28,,22.1,
C0K460,2019/8/6 00:00,60,205,1.9,28.5,0.78,994.5,-99,0,-99,-99,-99,32.9,,26.8,
C0M740,2019/8/6 00:00,15,179,2,28,0.86,1000,-99,0,-99,-99,-99,32.4,,26.7,
C0SA10,2019/8/6 00:00,411,328,1.3,24.4,0.99,958.7,-99,17.5,-99,-99,-99,31.4,,24.1,
C0C660,2019/8/6 00:00,176,85,1.5,28.6,0.74,982.9,-99,0,-99,-99,-99,33.8,,27.1,
C0R620,2019/8/6 00:00,34,23,1.8,26.6,0.95,999.5,-99,8,-99,-99,-99,31.8,,25.3,
C0F0B0,2019/8/6 00:00,311,223,1.3,27.4,0.88,967.7,-99,-99,-99,-99,-99,31.4,,24.9,
C0O970,2019/8/6 00:00,71,255,0.8,24.8,1,995.4,-99,8.5,-99,-99,-99,34.9,,24.8,
C0F9P0,2019/8/6 00:00,26,178,3,29.2,0.82,999.1,-99,0,-99,-99,-99,32.9,,28.9,
C0R560,2019/8/6 00:00,22,344,1,26.4,0.92,1000.7,-99,5,-99,-99,-99,33.3,,26.1,
C0F9M0,2019/8/6 00:00,230,172,1.4,27.6,0.88,976.3,-99,0,-99,-99,-99,32,,26.4,
C0X220,2019/8/6 00:00,26,318,2.2,27.1,0.88,999.6,-99,0,-99,-99,-99,31.7,,26.9,
C0M680,2019/8/6 00:00,37,170,1.5,27.6,0.91,999.8,-99,0,-99,-99,-99,34,,26.7,
C0S710,2019/8/6 00:00,382,29,1.5,23.8,1,962.6,-99,20.5,-99,-99,-99,30.6,,23.2,
C0F9T0,2019/8/6 00:00,111,167,1.5,29.2,0.79,989.6,-99,4.5,-99,-99,-99,32.7,,28.4,
C0F9N0,2019/8/6 00:00,75,158,1.2,29.5,0.79,993.7,-99,10.5,-99,-99,-99,33.8,,27.3,
C0G740,2019/8/6 00:00,24,173,2.3,28.2,0.82,999.5,-99,0,-99,-99,-99,32.4,,27.4,
C0UA70,2019/8/6 00:00,547,117,0.9,24.3,0.99,944.9,-99,3.5,-99,-99,-99,29.2,,24.1,
C0AC60,2019/8/6 00:00,55,74,2,29.4,0.74,996.3,-99,0,7.1,108,,36.3,,27.9,
C0R510,2019/8/6 00:00,31,51,0.5,26.7,0.93,999.6,-99,9,-99,-99,-99,34.3,,26.1,
C0X060,2019/8/6 00:00,19,179,1.2,26.8,0.91,1002.1,-99,0,-99,-99,-99,33.2,,26.3,
C0E550,2019/8/6 00:00,84,0,0,27.8,1,993.4,-99,1,-99,-99,-99,33.5,,26.7,
C0AI20,2019/8/6 00:00,25,82,2.7,28.2,0.99,1000.5,-99,0,-99,-99,-99,30.6,,27.4,
C0G640,2019/8/6 00:00,17,147,2.3,28.7,0.8,1001.5,-99,0,-99,-99,-99,33.8,,27.3,
C0X200,2019/8/6 00:00,61,140,0.6,25.5,0.99,996,-99,35,-99,-99,-99,35,,24.8,
C0U900,2019/8/6 00:00,63,264,0.6,26.6,0.99,998.3,-99,17.5,-99,-99,-99,31.3,,25.8,
C0Z230,2019/8/6 00:00,31,300,3.1,27.9,0.77,1001.3,-99,9,-99,-99,-99,29.9,,25.9,
C0F9O0,2019/8/6 00:00,175,0,0.2,28.8,0.99,982.5,-99,0,-99,-99,-99,33.6,,27.4,
C0C540,2019/8/6 00:00,46,72,4.5,28.5,0.74,997.4,-99,0,-99,-99,-99,37.3,,27.5,
C0G770,2019/8/6 00:00,15,191,1.9,28.8,0.88,998.4,-99,0,-99,-99,-99,34.1,,28.4,
C0V670,2019/8/6 00:00,20,15,1.3,27.9,0.84,1000.5,-99,3,-99,-99,-99,32.2,,27.6,
C0A870,2019/8/6 00:00,685,91,6.2,22.1,0.99,927.3,-99,0,-99,-99,-99,27.3,,21.3,
C0R220,2019/8/6 00:00,23,294,0.9,26,1,1000.3,-99,17,-99,-99,-99,33.1,,25.8,
C0E740,2019/8/6 00:00,27,269,1.2,27,0.97,998.4,-99,1,-99,-99,-99,34.5,,27,
C0S750,2019/8/6 00:00,2280,0,0,14.6,1,770.1,-99,36,-99,-99,-99,22.3,,13.8,
C0I370,2019/8/6 00:00,671,231,0.4,25.3,0.87,930.3,-99,0.5,-99,-99,-99,30.5,,22.2,
C0K400,2019/8/6 00:00,65,203,2.7,28.6,0.89,995.3,-99,0,-99,-99,-99,33.3,,26.4,
C0A650,2019/8/6 00:00,287,0,0,24.5,0.99,972.1,-99,3.5,-99,-99,-99,29.5,,24.1,
C0U750,2019/8/6 00:00,398,108,3.5,24.9,0.95,960.1,-99,1.5,-99,-99,-99,26.3,,24.1,
C0M730,2019/8/6 00:00,40,0,0,27.2,0.99,997.3,-99,12,-99,-99,-99,35.3,,24.9,
C0Z061,2019/8/6 00:00,174,0,0.2,25.4,0.99,987.7,-99,20.5,-99,-99,-99,33.7,,24.9,
C0M670,2019/8/6 00:00,43,185,1.8,27.9,0.86,996.9,-99,0,-99,-99,-99,33.4,,26.5,
C0I530,2019/8/6 00:00,3014,39,8,10.8,0.85,699.6,-99,0.5,-99,-99,-99,16.9,,10,
C0A880,2019/8/6 00:00,6,0,0,26.5,0.94,1001.6,-99,3,-99,-99,-99,31.3,,25.7,
C0S950,2019/8/6 00:00,415,228,1.3,24,1,957.6,-99,11,-99,-99,-99,29.7,,23.5,
C0X190,2019/8/6 00:00,10,187,0.9,27.8,0.95,1001.1,-99,0.5,-99,-99,-99,32.3,,27.7,
C0V610,2019/8/6 00:00,22,99,1.4,27.6,0.86,1000.1,-99,2.5,-99,-99,-99,31.8,,27.2,
C0Z310,2019/8/6 00:00,59,356,1,26.9,0.95,997.8,-99,1,-99,-99,-99,31.4,,25.1,
C0S700,2019/8/6 00:00,507,55,0.9,23.7,1,949.3,-99,10.5,-99,-99,-99,29.3,,23.2,
C0T9G0,2019/8/6 00:00,605,0,0.1,23.3,1,940.1,-99,8.5,-99,-99,-99,28.5,,22.9,
C0U520,2019/8/6 00:00,517,214,0.3,24.1,0.99,950,-99,27,-99,-99,-99,31.1,,23.2,
C0E750,2019/8/6 00:00,62,6,0.4,30,0.71,993.9,-99,0,-99,-99,-99,33.8,,28.3,
C0R400,2019/8/6 00:00,15,28,0.8,27.5,-99,1001.2,-99,14.5,-99,-99,-99,34.8,,26.1,
C0W140,2019/8/6 00:00,21,35,3.5,29,0.79,1001.8,-99,0,-99,-99,-99,33.2,,28.2,
C0U720,2019/8/6 00:00,1260,26,1.3,21.2,0.99,881.6,-99,5.5,-99,-99,-99,24.9,,19.9,
C0X150,2019/8/6 00:00,18,169,0.7,27.6,0.94,1001.9,-99,1,-99,-99,-99,33.6,,27.5,
C0Z050,2019/8/6 00:00,830,0,0,22.3,0.97,916.2,-99,31,-99,-99,-99,27.3,,20.6,
C0I490,2019/8/6 00:00,1601,154,0.9,19.2,0.99,836.4,-99,0,-99,-99,-99,24.9,,18,
C0X240,2019/8/6 00:00,394,150,1.1,24.5,0.97,960.1,-99,54.5,-99,-99,-99,30.7,,23.2,
C0S990,2019/8/6 00:00,409,27,3,24.8,0.94,959.1,-99,20,-99,-99,-99,28.5,,23.8,
C0E850,2019/8/6 00:00,104,0,0,28,0.91,989.9,-99,1,-99,-99,-99,34.1,,26.1,
C0T9B0,2019/8/6 00:00,558,218,0.6,24.2,0.92,944.1,-99,23.5,-99,-99,-99,28,,23.6,
C0G650,2019/8/6 00:00,34,165,0.8,28,0.99,997.8,-99,0,-99,-99,-99,34,,27.3,
C0K580,2019/8/6 00:00,26,205,2.3,28.1,0.82,1000.1,-99,0,-99,-99,-99,33.9,,26.8,
C0X050,2019/8/6 00:00,25,206,1.4,26.4,0.94,998.6,-99,27.5,-99,-99,-99,34.6,,25.2,
CM0100,2019/8/6 00:00,25,70,1.3,29.1,0.7,999.2,-99,0,-99,-99,-99,35,,26.9,
